time,english,french
5.359,all right well we still have some more,d'accord eh bien nous en avons encore d'autres
7.359,joining us but uh but let's get started,qui nous rejoignent mais euh mais commençons
10,uh so hi everyone and welcome to our,euh alors salut tout le monde et bienvenue à notre
12.4,session on longitudinal analysis using,session sur l'analyse longitudinale utilisant des
14.48,pma data this session is hosted jointly,données pma cette session est hébergée conjointement
17.6,by ippums and pma,par ippums et pma
20.08,i'm philan glevich the pi of pma,je suis philan glevich le pi de pma
23.119,thanks to everyone for joining us today,merci  à tout le monde de nous avoir rejoint aujourd'hui
24.8,and let's get started next slide please,"et commençons la prochaine diapositive s'il vous plaît,"
29.679,so i'll start this uh webinar with the,donc je vais commencer ce webinaire euh avec la
31.679,research question,question de recherche est-ce
33.12,did the covet 19 pandemic impact,que la pandémie de covet 19 a eu un impact sur l'
35.6,contraceptive use,utilisation de contraceptifs
37.12,uh so this question was prominent,euh donc cette question était importante en
38.64,particularly in the early stages of,particulier dans les premiers stades de la
40,pandemic and rightfully so many,pandémie et à juste titre tant
42.559,predicted that the pandemic could have a,a prédit que la pandémie pourrait avoir un
44.8,profound impact on contraceptive use uh,"impact profond sur l'utilisation des contraceptifs, en"
47.36,particularly in low middle-income,particulier dans les pays à faible revenu
48.719,countries due to uh,intermédiaire en raison
51.36,supply chain disruptions,"des perturbations de la chaîne d'approvisionnement, de la"
53.52,rising costs of contraceptives social,"hausse des coûts des contraceptifs, de la"
55.76,distancing which limited access to uh,distanciation sociale qui a limité l'accès aux
58.239,service delivery points for forgetting,points de prestation de services pour avoir oublié la
59.92,family planning,"planification familiale,"
61.199,um so for a lot of reasons there was,donc pour beaucoup de  raisons il y avait
63.039,there was you know good justification to,il y avait vous savez une bonne justification pour
64.799,suspect that covet could have a,soupçonner que la convoitise pourrait avoir un
66.72,devastating impact on contraceptive use,impact dévastateur sur la contraception  utilisation
69.28,and particularly for a vulnerable,"et en particulier pour les populations vulnérables,"
71.28,populations,NA
72.56,so many uh many articles and other,tant d'articles et d'autres
75.68,venues predicted that early in the,lieux ont prédit qu'au début de la
77.759,pandemic,NA
79.28,that there could be increased,"pandémie, il pourrait y avoir une augmentation"
82.159,unintended pregnancies,"des grossesses non désirées, en"
84.24,especially again among vulnerable,"particulier parmi les populations vulnérables,"
85.84,populations,NA
87.119,so this research question basically,donc cette question de recherche
88.88,forms the uh the background for this,constitue essentiellement le contexte de cette
91.28,session,session
92.159,uh where we'll be using pma's,euh où nous '  J'utiliserai les
93.84,longitudinal panel data from before and,données longitudinales du panel de pma avant et
96.24,during the coveted pandemic to look at,pendant la pandémie tant convoitée pour examiner les
98.159,changes in contraceptive use,changements dans l'utilisation des contraceptifs. Diapositive
100.88,next slide please,"suivante, s'il vous plaît,"
103.28,so uh as a structure for this session,"alors euh comme structure pour cette session,"
105.6,we'll start with an overview of pma and,nous commencerons par un aperçu de pma et
108.24,describe pma study design and sampling,décrirons la conception de l'étude pma et l'
111.2,approach and other features of pma,"approche d'échantillonnage et  d'autres fonctionnalités de pma,"
113.6,then we'll turn it over to iphones for a,nous passerons ensuite aux iphones pour une
115.52,brief description of their role with pma,brève description de leur rôle avec pma
118.24,and then the bulk of this webinar will,", puis la majeure partie de ce webinaire"
120.159,be devoted to longitudinal data analysis,sera consacrée à l'analyse de données longitudinales
122.96,where we'll have two breakout rooms one,où nous aurons deux salles de sous-commission une
124.96,for r one for stata and you'll select,pour r une pour stata  et vous
127.6,which breakout room you prefer based on,sélectionnerez la salle de sous-commission que vous préférez en fonction du
129.36,which statistical package you'd prefer,package statistique dans lequel vous préférez vous
131.12,training in and we'll devote most of,entraîner et nous consacrerons le plus  de
133.12,this session to um examples of,cette session à euh des exemples d'
135.28,longitudinal panel data analysis uh in,analyse longitudinale de données de panel euh dans
138.16,those statistical packages,ces ensembles statistiques
140.959,next slide please,diapositive suivante s'il vous plaît d'
143.599,all right so starting with an overview,"accord, donc en commençant par un aperçu"
145.599,of pma,de pma
146.879,so pma was initiated in 2013 in response,donc pma a été lancé en 2013 en réponse
150,to the london summit and family planning,au sommet de londres et à la planification familiale
152.64,and the initial goal of pma was to track,et l'objectif initial de pma était  pour suivre
154.959,key family planning indicators over time,les indicateurs clés de la planification familiale au fil du temps
156.879,in select geographies which pma has done,"dans certaines zones géographiques, ce que pma a fait"
159.44,in 11 countries in africa and asia so,dans 11 pays d'afrique et d'asie
161.599,far to date,"jusqu'à présent,"
162.959,so by 2013 pma changed study designs,donc en 2013 pma a changé les plans d'étude
165.84,where we moved from repeated,où nous sommes passés d'une
167.68,cross-sectional study design to a,étude transversale répétée à un
169.28,longitudinal panel and i'll describe,panel longitudinal et je '  Je
171.519,this panel design uh shortly in a few,décrirai brièvement cette conception de panel dans quelques
173.92,slides,"diapositives,"
175.2,so this slide shows some of the,donc cette diapositive montre certaines des
176.48,accomplishments for pma so far,réalisations de pma jusqu'à présent
178.56,and one to point out that we're,et une pour souligner que nous
181.519,approaching our millionth interview so,"approchons de notre millionième entretien,"
183.599,that's one landmark that we're,c'est donc un point de repère que nous
184.879,anticipating in the coming years,anticipons dans les prochaines années
186.8,next slide please,diapositive s'il vous plaît
189.84,so how does pma work,alors comment pma fonctionne
191.68,so pma starts with our resident,donc pma commence par nos
193.519,numerators who are women that,numérateurs résidents qui sont des femmes
195.92,are that either reside within or close,qui résident dans ou à proximité
198.8,to enumeration areas in the pma sample,des zones de dénombrement dans le p  ma échantillon
201.599,so these uh women do data collection for,donc ces femmes font la collecte de données pour
203.76,pma,pma
204.959,and uh they start by going to households,et euh elles commencent par se rendre dans les ménages
207.92,or service delivery points in pma,ou les points de prestation de services dans
209.84,enumeration areas,les zones de dénombrement pma
211.28,and administer a survey by smartphone,et administrent une enquête par smartphone en
213.519,using odk,utilisant odk une
215.12,after the survey is finished it's,"fois l'enquête terminée, elle est"
216.64,uploaded to a central server where we do,téléchargée sur un serveur central où nous faisons de
219.04,real-time data management and data,vrai  - gestion du temps des données et
221.68,quality checks on the data,vérifications de la qualité des données sur les données une
223.92,after data collection is complete we,"fois la collecte des données terminée, nous"
226.4,produce a number of data visualization,produisons un certain nombre de produits de visualisation de données
228.4,products uh reports academic papers uh,euh rapports articles universitaires euh
231.76,briefs,mémoires
232.799,and uh and other items and then,"et euh et d'autres éléments, puis"
234.959,ultimately the data that pma collects,finalement les données recueillies par pma
237.04,are made publicly available within about,sont rendues publiques dans environ
239.28,six months after data collection is,six  mois après la fin de la collecte des données
240.879,finished,NA
241.84,and you can access the data on either,et vous pouvez accéder aux données sur
243.84,the ipams website or the pma website,le site Web d'ipams ou sur le site Web de
247.04,next slide please,"pma diapositive suivante,"
251.439,so pma currently operates in nine,donc pma opère actuellement dans neuf
253.28,geographies as shown on this map,"zones géographiques, comme indiqué sur cette carte"
255.68,pma collects nationally representative,pma collecte des données représentatives au niveau national
257.519,data in uganda kenya um,en ouganda kenya um
260.799,niger and cote d'ivoire,niger et cote d'  ivoire
263.12,and we collect in burkina faso,et nous recueillons au burkina faso
265.52,and we collect sub-nationally,et nous recueillons des données représentatives au niveau sous-national
267.199,representative data in dr congo where we,en rd congo où nous
269.52,work in congo central and kinshasa,travaillons  provinces du congo central et de kinshasa
272.08,provinces,NA
273.919,in nigeria where we work in canolago,au nigeria où nous travaillons dans les
276.16,states,états de canolago
277.04,in india where we work in rajasthan,en inde où nous travaillons au rajasthan
279.44,and then pma core has a related project,", puis pma core a un projet connexe"
282.479,in ethiopia that focuses on maternal,en éthiopie qui se concentre sur la santé maternelle
284.32,health,NA
285.12,next slide please,diapositive suivante s'il vous plaît
288.08,so this slide depicts the pma study,donc cette diapositive illustre la conception de l'étude pma
289.84,design,NA
291.28,we're starting on the top pma does a,"que nous commençons  en haut, pma fait un"
293.44,household and female panel where at,"panel de ménages et de femmes où, au"
296.4,baseline we enroll uh eligible,"départ, nous inscrivons euh des"
298.4,households and women uh for interview in,ménages éligibles et des femmes euh pour un entretien au cours de
300.88,the first year which has been completed,la première année qui a été achevée
302.72,for all of our geography so far,pour l'ensemble de notre géographie jusqu'à présent
305.12,and then over time we followed the same,", puis au fil du temps, nous avons suivi les mêmes"
307.199,households in women for two subsequent,ménages chez les femmes pour  deux
309.36,interviews which are done in an annual,entretiens ultérieurs qui sont effectués sur une base annuelle
311.36,basis,NA
312.88,so women can in eligible households can,afin que les femmes des ménages éligibles puissent
315.12,age into the sample once they turn 15,vieillir dans l'échantillon une fois qu'elles ont atteint l'âge de 15 ans
317.919,and then they can also move in and out,", puis elles peuvent également entrer et sortir"
319.919,of the sample as well and i'll provide,de l'échantillon et je fournirai
321.52,more details on that in a second um so,"plus de détails à ce sujet dans un  deuxièmement,"
324.72,the service delivery points or health,les points de prestation de services ou les
326.96,facilities um sdps are connected to the,établissements de santé um sdps sont connectés aux
330.479,households because they're sampled,ménages car ils sont échantillonnés
332.4,deliberately based on facilities that,délibérément en fonction des établissements qui
334.24,serve the women in the enumeration areas,desservent les femmes du th  e zones de dénombrement
336.08,in the pma sample so we'd also do a,dans l'échantillon pma donc nous ferions également un
339.28,sample of these facilities or sdps uh,échantillon de ces établissements ou sdps euh établissements
342,both public and private facilities we,"publics et privés, nous les"
344.4,follow them over time for uh annual,suivons au fil du temps pour euh
346.639,interviews as well,entretiens annuels également
348.24,and um then we also conduct client exit,et euh ensuite nous menons également des entretiens de sortie des clients
350.96,interviews,NA
352.479,in these facilities,dans ces établissements
354.88,that are in the pma sample as well,"qui  font également partie de l'échantillon pma,"
357.36,so ultimately we have a longitudinal,nous avons donc finalement un
359.44,panel we also produce cross-sectional,"panel longitudinal, nous produisons également des résultats transversaux"
361.6,results,NA
363.44,for key family planning indicators as,pour les indicateurs clés de la planification familiale
365.12,well and our service delivery points are,et nos points de prestation de services sont
368.08,tied to,liés
369.199,the households in our and women in our,aux ménages de notre et aux femmes de notre
371.199,uh in our samples too next slide please,euh dans nos échantillons aussi ensuite  diapositive s'il vous plaît
375.84,so some details on pma sampling,donc quelques détails sur l'échantillonnage pma dans l'
378.479,overall a sampling approach is guided by,ensemble une approche d'échantillonnage est guidée par
380.56,the goal of estimating monarch by the,l'objectif d'estimer le monarque par le
382.319,minor contraceptive prevalence rate with,taux de prévalence contraceptive mineure avec
384.16,a margin of error plus or minus three,une marge d'erreur de plus ou moins trois
386.16,percentage points,points de pourcentage
387.6,so in order to uh to do so pma uses a,donc pour euh pour le faire pma utilise un
390.8,multi-stage cluster design with urban,multi-  conception de clusters par étapes avec les
392.96,rural and major regions as strata,régions urbaines rurales et principales comme strates
395.6,and,et
396.479,we start by going to national,nous commençons par nous rendre dans les
398.319,statistical agencies and countries where,agences statistiques nationales et les pays où
399.919,we work and,nous travaillons et
401.68,draw a representative sample of,dessinons un représentant  échantillon de
403.039,enumeration areas from the master,zones de dénombrement à partir du
404.96,sampling frame that's used for the,cadre d'échantillonnage principal qui est utilisé pour le
406.4,census in each country next slide,recensement dans chaque pays diapositive suivante
412.4,so at the beginning of data collection,"donc au début de la collecte de données,"
414.24,we start with resident numerators,nous commençons avec la
416.08,mapping and listing each enumeration,cartographie et la liste des numérateurs résidents de chaque
418.08,area,zone de dénombrement
419.12,and then after this mapping and listing,", puis une fois cette cartographie et cette"
420.72,is complete we do a random sample of,"liste terminées, nous effectuons un  échantillon de"
422.8,households in each ea which is usually,ménages dans chaque ea qui est généralement de
424.96,35 households,35 ménages
426.639,from a total size of about two 200,sur une taille totale d'environ deux 200
429.919,and then it's women who are age 15 to 49,", puis ce sont les femmes âgées de 15 à 49 ans"
432.24,at baseline who are eligible for the pma,au départ qui sont éligibles pour l'
434.96,pma sample,échantillon pma pma
436.8,next slide,prochaine diapositive
439.44,uh then in in subsequent phases of phase,euh puis dans les phases suivantes de la phase
442.4,two for example uh resident numerators,deux  par exemple euh les numérateurs résidents
444.639,return to the same dwelling units,retournent dans les mêmes unités d'habitation
446.08,interviewed in phase one and,interrogées lors de la première phase et ont
447.599,administered the female survey to all,administré l'enquête féminine à toutes les
449.759,women age 15 to 49 regardless of whether,"femmes âgées de 15 à 49 ans,"
452.4,they were interviewed at baseline,"qu'elles aient été interrogées ou non au départ, de"
454.88,so women interviewed in the household at,sorte que les femmes interrogées dans le ménage lors de la première
456.72,phase one are re-interviewed but then,phase sont réinterrogées mais ensuite
458.88,new women can also be enrolled so this,"de nouvelles femmes peuvent également être inscrites,"
460.56,is how we do both the panel and the,c'est ainsi que nous faisons à la fois le panel et les
462.24,cross-section uh cross-sectional,NA
464.08,estimates at the same time,estimations transversales euh transversales en même temps
466.24,and then women who left the phase one,"et  ensuite, les femmes qui ont quitté le ménage de la phase un"
468.24,household are still eligible for,sont toujours éligibles pour un
470.16,follow-up depending on where their,suivi en fonction de leur
471.759,location is by phase two so if they,"emplacement par la phase deux, donc si elles ont"
474.4,moved within the enumeration area or,déménagé dans la zone de dénombrement
476.4,close view you,ou vous voient de
477.919,closely outside the ea then we follow up,"près en dehors de l'ea, nous suivons"
480.319,with them,avec elles
481.84,and so far we've achieved 80 percent,"et jusqu'à présent, nous  'ai atteint 80 % de"
485.199,retention in all geographies for our,rétention dans toutes les zones géographiques pour nos
487.199,panel data to date,"données de panel à ce jour,"
489.44,next slide,diapositive suivante
491.28,so then a few brief points on waiting,", alors quelques brefs points sur les"
493.039,procedures uh so obviously pma is,procédures d'attente euh donc évidemment pma est
495.12,interested in waiting because we produce,intéressé par l'attente parce que nous produisons
496.639,these uh representative estimates,ces estimations représentatives
498.639,so cross-sectional weights are conducted,donc des pondérations transversales sont effectuées
500.96,are created by you know using design,sont créées  par vous savez en utilisant des
503.36,survey weights uh which are the inverse,poids d'enquête de conception euh qui sont l'inverse
