time,english,french
7.44,all right so um,"d'accord, alors"
9.679,welcome everyone to the breakout session,bienvenue à tous à la session en
12.559,for,NA
13.679,our users hopefully,"petits groupes pour nos utilisateurs, j'espère que la"
15.44,most of you uh have,plupart d'entre vous ont déjà
17.52,used r to some extent before,utilisé r dans une certaine mesure auparavant
20.4,and if not that's okay um,"et si ce n'est pas grave,"
22.4,consider this my pitch for you to join,considérez ceci comme mon argumentaire pour que vous rejoigniez
24.8,the the dark side,"le côté obscur,"
27.68,i'm matt gunther and i'm a senior data,je suis matt gunther et je  Je suis un
30.32,analyst with ippam's pma so i've been,"analyste de données senior avec pma d'ippam, donc je suis"
33.44,with pm ipm's pma for,avec pm ipm depuis
35.84,uh around,environ
37.52,five years i think and,"cinq ans, je pense et"
39.6,my role is mainly,mon rôle consiste principalement à
41.44,providing,fournir
42.559,technical assistance to,une assistance technique à
44.48,um the research faculty and postdocs and,"la faculté de recherche, aux postdoctorants et aux"
47.12,grad students on our team,"étudiants diplômés de notre équipe,"
49.12,um at least those who use our uh we use,au moins ceux  qui utilisent notre euh que nous utilisons
52,are quite a bit on our team because of,sont un peu dans notre équipe en raison de
55.36,its,sa
56.16,capacity for spatial data analysis in,capacité d'analyse de données spatiales en
58.719,addition to all the survey analysis,plus de toute l'analyse d'enquête sur laquelle
60.239,we'll be focusing on in this session,nous nous concentrerons dans cette session
63.359,um what we're going to be doing is,euh ce que nous allons faire
65.36,covering a few of the data manipulation,couvre quelques-uns  des étapes de manipulation des données
67.2,steps,NA
68.159,um that'll be necessary in route to,euh qui seront nécessaires pour
69.92,building the kind of,construire le type de
71.76,model that we,"modèle qui, nous l'"
73.119,hope will answer the research question,"espérons, répondra à la question de recherche"
74.88,that devin's been discussing which is,NA
77.04,about how covid19 impacted the family,"dont Devin a discuté, à savoir comment covid19 a eu un impact sur les"
79.68,planning behaviors for women,comportements de planification familiale des femmes
82.24,in the pma panel study and then by,de la pma  étude de panel et ensuite par
84.32,extension uh what we might learn about,extension euh ce que nous pourrions apprendre sur
86.56,the broader population of women uh,la population plus large de femmes euh
88.72,reproductive age women in the countries,femmes en âge de procréer dans les pays
91.04,burkina faso in kenya and just as a,burkina faso au kenya et juste pour
93.04,reminder those are the two,rappel ce sont les deux
94.56,nationally representative samples that,échantillons représentatifs au niveau national qui
96.72,are currently available from,sont actuellement disponibles auprès de
98.84,pma,pma
100.64,we also have samples from,nous avons aussi des échantillons  de la
103.2,drc and nigeria as well that are,rdc et du nigeria également qui sont
105.439,regionally representative as phil,représentatifs au niveau régional comme phil l'a
106.72,mentioned,"mentionné,"
108.72,so this,donc cette
109.759,presentation is,NA
111.759,going to be available as an r markdown,présentation sera disponible sous forme de
113.52,file this is just uh,fichier de démarquage r c'est juste
115.84,our markdown slides presentation but all,euh notre présentation de diapositives de démarquage mais
117.92,of it is just our code so,tout cela n'est que notre code donc
120.32,we'll make this available for you so,nous le rendrons disponible pour  vous de sorte
122.24,that if if it's useful you can use any,"que si c'est utile, vous pouvez utiliser n'importe"
124.719,of the code in your own workflow and,quel code dans votre propre flux de travail et
127.28,just change the samples and variables,simplement changer les échantillons et les variables
129.039,and,et des
129.759,things like that,choses comme ça
131.28,um,euh
