time,english,french
0.88,okay,d'accord
2.399,um so it looks like we have quite a few,euh donc on dirait que nous avons pas mal de
4.24,people in here um,personnes ici euh
6.48,so,donc
7.919,um i'm back at the website um and i'm,euh je suis de retour sur le site web euh et je
11.12,looking at like the my data page um and,regarde comme la page de mes données euh et
14.799,as you can see that um there's uh links,comme vous pouvez le voir euh il y a euh des liens
17.76,here um,ici euh
19.76,to,vers
21.039,actually make sure to,"en fait, assurez-vous de"
24.32,share my entire screen,partager tout mon écran
26.4,um to make sure that this captures,euh pour vous assurer que cela capture
29.199,everything,"tout,"
30.72,so,donc
31.599,um,euh
32.559,i'm going to go to the second extract,je vais aller au deuxième extrait
34.48,that i created,que j'ai créé
36,and i'm going to go to the formatted,et je vais aller aux
38,data so i'm going to right click on,données formatées donc je vais faire un clic droit  sur
40.879,downloads data and save link as,les données de téléchargement et enregistrer le lien car
44.879,then i'm going to go to a folder where i,alors je vais aller dans un dossier où je
48.559,know how to access the data later,sais comment accéder aux données plus tard
52.48,and you'll notice,et vous remarquerez
53.92,that,que
56.399,it's the data will be in a,ce sont les données qui seront au
58.84,dta.gz format uh so that just means it,"format dta.gz, donc cela signifie simplement qu'il"
62.16,has been compressed to save space make,a  été compressé pour économiser de l'espace
64.559,it easier to download um and i like to,facilite le téléchargement euh et j'aime
67.36,use a uh a decompression software called,utiliser un logiciel de décompression appelé
70.56,7zip makes it it's free it's easy to use,7zip le rend gratuit il est facile à utiliser
74.08,so i'm going to extract my data,donc je vais extraire mes données
76.88,and then,et ensuite
78,i can open it right up in stata,je peux l'ouvrir directement dans stata
81.68,then you see all the variables that we,alors vous voyez toutes les variables que nous avons
84.08,downloaded,téléchargées
85.439,um,euh
87.36,and,et
88.4,so i've i've already got a do file so,donc j'ai déjà un fichier do donc
90.479,i'm actually going to close out and work,je vais en fait  o fermer et travailler
92.32,with a,avec un
93.36,a data file that i created,fichier de données que j'ai créé
95.439,just for this purpose,"juste à cet effet,"
99.68,so i have my data my do file um and i,donc j'ai mes données mon fichier do euh et je
102.96,will be,NA
103.92,making sure that this do file is um,vais m'assurer que ce fichier do est euh
106.399,freely uh available and accessible after,librement euh disponible et accessible après
109.28,the workshop and i believe we'll be,l'atelier et je crois que nous '  Je publierai également
111.04,posting the recording as well,"l'enregistrement,"
114.64,so,donc
115.84,i'm just going to,je vais juste
117.68,change my working directory to where i,changer mon répertoire de travail à l'endroit où j'ai
120.399,saved my data,enregistré mes données
125.68,and then i'm going to open up i had,", puis je vais ouvrir"
128.319,previously gone in and,NA
129.84,renamed that data file from pma,j'étais déjà entré et j'ai renommé ce fichier de données de pma
135.12,and i'm going to open up my file so i'm,"et je vais  pour ouvrir mon fichier, je"
138,going to use that workshop data,vais donc utiliser ces données d'atelier
140.84,and excellent,et excellentes
151.12,um great,euh génial
152.8,so first things first um whenever i open,donc tout d'abord euh chaque fois que j'ouvre
156,a data file i like to get a sense of the,un fichier de données j'aime avoir une idée du
158.16,content of the file,contenu du fichier
160.4,so i'm going to,donc je vais
162,do a cross tabulation of those,faire un  tableau croisé de
164.48,those two,ces deux
165.84,versions of this result variable,"versions de cette variable de résultat,"
168.8,so i want to take a look at,donc je veux jeter un coup d'œil
171.599,how many women completed both,au nombre de femmes qui ont rempli les deux
174.16,questionnaires,"questionnaires,"
175.68,so the column,donc la colonne
177.84,here is results fq underscore one so,"ici est les résultats fq souligner un, donc"
181.04,that's,c'est
181.84,the result in phase one as if you,le résultat de la phase un comme si vous vous
184.48,remember recall um,souveniez de vous rappeler
186.4,when we collect we created the data,quand nous recueillons  nous avons créé l'extrait de données que
188.8,extract,NA
190,i chose just female respondents so we're,"j'ai choisi juste fem  ale répondants, donc nous"
192.159,only seeing women here who completed,ne voyons ici que des femmes qui ont rempli
195.36,or partially completed that first,ou partiellement rempli ce premier
197.44,questionnaire,"questionnaire,"
199.28,but we also get to see um if she did not,mais nous pouvons également voir euh si elle n'a pas
203.04,complete the phase two questionnaire um,rempli le questionnaire de la phase deux euh
205.68,how that how come uh so that's,comment ça se fait euh donc ça entre
208.72,getting into what she was discussing,dans ce dont elle parlait
211.2,about loss to follow-up,de la perte  pour faire un suivi
213.92,and you'll also notice that we've got,et vous remarquerez également que nous avons
216.56,some missing,des
218.239,cases here,"cas manquants ici,"
219.68,we don't have a ton of time to go into,nous n'avons pas beaucoup de temps pour
221.36,that but um,"en parler, mais euh,"
222.799,please take check out our webinar,veuillez consulter notre webinaire
227.2,that's more focused on,qui est plus axé
229.36,like the details and,sur les détails
231.12,and format of these data and that you,et le format  de ces données et que vous
232.799,can find that on ipams.org,pouvez trouver cela sur ipams.org
236,so,donc
238,my next step um is,ma prochaine étape euh est
240.959,that i would like to keep only women um,que je voudrais garder seulement les femmes euh
244.48,who were interviewed in both phase one,qui ont été interrogées à la fois dans la phase un
247.12,and phase two,et la phase deux
248.72,um and we're not keeping only partially,euh et nous ne conservons pas seulement les dossiers partiellement
251.36,completed records,remplis
253.28,just completed,"juste  des enquêtes terminées,"
255.76,surveys,NA
257.68,so,donc
258.799,um dropping,euh laisser tomber les
260.959,women who are only interviewed in in one,femmes qui ne sont interrogées que dans l'un
263.52,or the other,ou l'autre d'
266.479,okay um and then,accord euh et
268.96,secondly um when pma constructs its um,ensuite euh quand pma construit son euh
273.52,its briefs uh that they mentioned um,ses mémoires euh qu'ils ont mentionné euh
276.72,they,ils
278,only analyzed the de facto population,n'ont analysé que la population de facto
281.6,so that means they're going to be,donc ça veut dire qu'ils sont g  Je vais laisser
282.96,dropping um,tomber des
285.04,women who are usually in the household,femmes qui sont habituellement dans le ménage
287.12,but absent the night before and they,mais absentes la nuit précédente et elles
289.28,will include visitors who slept there,incluront les visiteurs qui y ont
291.759,the night before um,"dormi la nuit précédente,"
293.68,so i'm going to keep,donc je vais garder les
296.88,women who were the de facto population,femmes qui étaient de facto la population
299.28,in both phase 1 and phase 2,à la fois en phase 1 et en phase 2
305.12,so,donc
306.639,you wanted to see what the codes,vous vouliez voir quels étaient les codes
308.96,were so we've got the labels here,", nous avons donc les étiquettes ici,"
312.8,but you can,mais vous pouvez
314.96,take a look at the labels or you can,jeter un œil aux étiquettes ou vous pouvez
316.639,also go to our website and see what the,également aller sur notre site Web et voir quels sont les
318.8,numbers are to understand why,chiffres pour comprendre pourquoi
321.28,why i used the codes that i did,pourquoi j'ai utilisé les codes que j'ai  a fait
324.08,excellent okay so um first we're going,excellent d'accord alors euh d'abord nous allons
327.199,to go to the data visualization,passer à la visualisation des données
330.32,so if we wanted to get a,donc si nous voulions avoir
333.199,a high level look at its contraceptive,un aperçu de haut niveau de son
336.639,use in burkina faso in kenya during this,utilisation contraceptive au burkina faso au kenya pendant cette
338.88,period,période
340.4,i want to,je veux
342.56,categorize all the women who are,catégoriser toutes les femmes qui sont
344.8,interviewed in both phase one and phase,interrogées dans les deux  la phase un et la phase
346.56,two into four different categories,"deux en quatre catégories différentes,"
349.28,so first i want to look at women who,donc je veux d'abord regarder les femmes qui
352.96,were,NA
354.32,not using at either period,n'utilisaient aucune des deux périodes les
356.96,women who were using in both phase 1 and,femmes qui utilisaient à la fois la phase 1 et la
360.24,phase 2,phase 2
361.6,i want to look at women who,je veux regarder les femmes qui ont
